ababa	a bab a
ligcine	li gcin e
ligcotshiwe	li gcotsh iw e
lihanjiswe	li hanj is w e
lihlala	li hlal a
lika	lika
likade	likade
likadokotela	lika dokotela
likagogo	lika gogo
likajamu	lika jamu
likanayipuroki	lika nayipuroki
likankosikazi	lika nkosi kazi
likankulunkulu	lika nkulu nkulu
likanokusho	lika n o ku sho
likathisha	lika thisha
likayisemkhulu	lika yise m khulu
likhalile	li khal ile
likhanya	li khany a
likhomba	li khomb a
likhona	l i khona, l ikhona
likhwembekhwembeze	li khwemb e khwembez e
lilambile	li lamb ile
lilokhu	li lokhu
limbe	li mb e
limbeka	li m bek a
limele	li m el e
limfundisa	li m fund is a
limi	li m i, limi
limilimi	limi limi
limkhomba	li m khomb a
limkhumbuze	li m khumbuz e
limlandele	li m landel e
limoyizela	li moyizel a
limqhoqhobele	li m qhoqhobel e
limshiya	li m shiy a
limumethe	li mumeth e
linamasi	li n a ma si
linedwala	li n e dwala
lingahlaba	li nga hlab a
lingakachanyuselwa	li nga ka chanyus el w a
lingakafiki	li nga ka fik i
lingakani	li nga ka n i, li ngakani
lingakubani	li nga ku bani
lingani	li ngani
lingazinqumela	li nga zi nqum el a
lingcono	li ngcono
lingena	li ngen a
lingenisa	li ngen is a
lingibuka	li ngi buk a
lingifudumeza	li ngi fudumez a
linikeza	li nikez a
linikezwe	li nikez w e
linjalo	li njalo
linjani	li njani
linomuntu	li n o mu ntu
linuka	li nuk a
liphambili	li phambili
liphuma	li phum a
liphunga	li phung a
liqala	li qal a
liqale	li qal e
liqambe	li qamb e
liqhamuka	li qhamuk a
lisafuna	li sa fun a
lisalwa	li sa lw a
lisamile	li sa m ile
lisaqonde	li sa qond e
lisashisa	li sa sh is a
lisebuqamamana	li se bu qamam ana
lisesigangeni	li se si gang eni
lishaya	li shay a
lishayele	li shay el e
lishayile	li shay ile
lisho	li sho
lishona	li shon a
lithe	li th e
lithi	li thi
lixhoshwa	li xhosh w a
liyabatshela	li ya ba tshel a
liyabhekelwa	li ya bhekel w a
liyadlisela	li ya dl is el a
liyagxuma	li ya gxum a
liyakwazi	li ya kw azi
liyaphakama	li ya phakam a
liyashelela	li ya shelel a
liyavama	li ya vam a
liyavuleka	li ya vul ek a
liyazithandela	li ya zi thand el a
liyenzeka	li y enz ek a
liyeza	li y ez a
liyofika	li yo fik a
liyofudumala	li yo fudumal a
liyogcina	li yo gcin a
liyomema	li yo mem a
liyongena	li yo ngen a
liyozilinganisa	li yo zi lingan is a
lizama	li zam a
lize	li z e
lizikhalela	li zi khal el a
lizobalibi	li zo b a li bi
lizokhuluma	li zo khulum a
lizokuba	li zo ku b a
lizomceba	li zo m ceb a
lizophekwa	li zo phek w a
lo	lo
lobo	lo b o
lobu	lo bu
lochitha	l o chitha
lodwa	lo dwa
lokho	lo kh o
lokhokududana	lo kh o ku dud an a
lokhu	lo khu
lokhukufunda	lo khu ku fund a
lokhukuhlamuka	lo khu ku hlamuk a
lokhukuhlupheka	lo khu ku hlupheka
lokhukwesaba	lo khu kw esab a
lokhuya	lo khu ya
loko	lo k o
lokobakhombisa	l o k o ba khomb is a
loku	lo ku
lokuba	l o kuba
lokucabanga	l o ku cabang a
lokucingisisa	l o ku cing isis a
lokufa	l o ku f a
lokufunda	l o ku fund a
lokukuphola	l o ku ku phol a
lokulobola	l o ku lobol a
lokuphunyula	l o ku phunyul a
lokushiya	l o ku shiy a
lokusondelana	l o ku sondel an a
lokuthi	l o kuthi
lokuthuthukiswa	l o ku thuthuk is w a
lokuvusa	l o ku vus a
lokuxolisa	l o ku xol is a
lokuziveza	l o ku zi vez a
lokwakha	l o kw akh a
lolu	lo lu
loluphahla	lo lu phahla
lomakoti	lo makoti
lomame	l o mame
lombala	lo m bala
lombono	l o m bon o, lo m bon o
lombuzo	lo m buz o
lomfantu	lo m fantu
lomfanyana	l o m fany ana
lomfo	l o m fo, lo m fo
lomgcagco	l o m gcagc o
lomgexo	lo m gex o
lomgwaqo	l o m gwaqo
lomhlangano	l o m hlangan o
lomkhuhlane	l o m khuhlane, lo m khuhlane
lomsebenzi	lo m sebenz i
lomshayeli	lo m shayel i
lomuntu	l o mu ntu
lomunye	l o mu nye
lomuzi	l o mu zi, lo mu zi
lona	lo na
lonesi	lo nesi
lonke	lo nke
lowayankosikazi	lo wa ya nkosi kazi
lowo	lo w o
lowomfinyezo	lo w o m finyez o
lowomsebenzi	lo w o m sebenz i
lowomuthi	lo w o mu thi
lowonkosikazi	lo w o n kosi kazi
lowonyaka	lo w o nyaka
loya	lo ya, loy a
loyindlu	l o y i n dlu
lubasiza	lu ba siz a
lube	lu b e
lubenjalo	lu b e njalo
lubhekene	lu bhek en e
lucezu	lu cezu
lucingo	lu cing o
lucishe	lu cish e
lufekethisiwe	lu feketh is iw e
lugojwana	lu gojw ana
luhambe	lu hamb e
luhuntshu	lu huntshu
lukamamncube	luka ma m ncube
lukhambemi	lu khamb emi
lukhuni	lukhuni
lula	lul a
lulokhu	lulokhu
lumbelesele	lu m beles el e, lu m belesel e
lumuthi	lu mu thi
luncane	lu ncane
lungayibambanga	lu nga yi bamb anga
lungekho	lu nge kho
lungisa	lung is a
lunye	lu nye
luphathelene	lu phath el en e
lusathe	lu sa th e
lushayeka	lu shay ek a
lusizo	lu siz o
lusuka	lu suk a
lusuke	lu suk e
lusuku	lu suku
luthathe	lu thath e
lutho	lu tho
luvalo	lu valo
luyabheda	lu ya bhed a
luyaphahleka	lu ya phahl ek a
luzodingidwa	lu zo dingid w a
luzovuthwa	lu zo vuth w a
lwaba	lw a b a
lwakhe	lwa khe
lwakho	lwa kho
lwakhona	lwa kho na
lwalo	lwa lo
lwalumnandi	lw a lu mnandi
lwaluzozingenela	lw a lu zo zi ngen el a
lwambamba	lw a m bamb a
lwameva	lw a me va
lwami	lwa mi
lwangiqunya	lw a ngi quny a
lwaphika	lw a phik a
lwehlele	lw ehlel e
lwencwadi	lw e n cwadi
lwendlala	lw e n dlala
lwendoda	lw e n doda
lwesishiyagalombili	lw e si shiy a galo m bili
lwezingane	lw e zin gane
ma	ma
mabaholwe	ma ba hol w e
mabala	ma bala
mabangayi	ma ba nga y i
mabangene	ma ba ngen e
mabaxoshwe	ma ba xosh w e
mabazame	ma ba zam e
madoda	ma doda
mahazula	ma hazula
mahlangu	ma hlangu
mahlayeni	ma hlayeni
makabonge	ma ka bong e
makabuyele	ma ka buy el e
makahambe	ma ka hamb e
makakhokhelwe	ma ka khokhel w e
makamemeze	ma ka memez e
makangene	ma ka ngen e
makapheke	ma ka phek e
makaphinde	ma ka phind e
makasondele	ma ka sondel e
makathule	ma ka thul e
makazivumise	ma ka zi vum is e
makenze	ma k enz e
makenzenjani	ma k enz e njani
makhala	makhala
makhulu	ma khulu
makube	ma ku b e
makubhotshozwe	ma ku bhotshoz w e
makuxoxwe	ma ku xox w e
makwenziwenjani	ma kw enz iw e njani
mali	mali
malokazana	ma lokazana
malunga	ma lunga
mama	mama
mamdunge	ma m dung e
mamkhize	ma m khize
mancinza	ma ncinz a
mangihambe	ma ngi hamb e
mangivakashe	ma ngi vakash e
manhlengethwa	ma nhlengethwa
maningi	ma ningi
manje	manje
manzi	ma nzi
manzuza	ma nzuza
maphepha	ma phepha
maqede	maqede
masehlukane	ma s ehluk an e
masibisi	ma si bisi
masikhwele	ma si khwel e
masinya	ma sinya
masinyane	masinyane
masishane	ma si sh an e
masisukume	ma si sukum e
masivale	ma si val e
matanami	ma tanami
maye	maye
mayimendisele	ma yi m end is el e
mayiphume	ma yi phum e
mayiwazile	ma yi wa zil e
mazibuko	ma zibuko
mazilale	ma zi lal e
mazisize	ma zi siz e
mazwi	ma zwi
mba	mba
mbalwa	mbalwa
mbhense	m bhens e
mbo	m bo, mbo
mbulale	m bulal e
mbuya	m buya
mdadlana	m dadl ana
mdala	m dala
mehlo	me hlo
mehluko	m ehluk o
meromo	meromo
mexwayisi	m exway is i
mfana	m fana
mfowethu	m fo w ethu
mfudlana	m fudl ana
mfula	m fula
mhla	mhla
mhlawumbe	mhlawumbe
mhogelise	m hog el is e
mibili	mi bili
middleton	middleton
mina	mi na
mkhize	m khize
mkhohlisi	m khohl is i
mkhulu	m khulu
mlomo	m lomo
mmm	mmm
mnandi	mnandi
mnganami	m ngan a mi
mngane	m ngane
mntakwethu	m nta kw ethu
mntanami	m ntan a mi, m ntana mi
mntwana	m ntwana
mnu	mnu
mnumzane	m numz ane, m numzane
mnyama	mnyama
mnyamande	mnyamande
moyana	moy ana
mpelampela	mpela mpela
mpiloni	m pil o ni
mqhense	m qhense
msebenzi	m sebenz i
mtshele	m tshel e
mubi	mu bi
mugqa	mu gqa
muhle	mu hle
muni	mu ni
muntu	mu ntu
munye	mu nye
musani	mus a ni
music	music
muthi	mu thi
muva	muva
muzi	mu zi
mveli	m vel i
mvelivelayo	m veli vel a yo
mvula	m vula
mvuthu	m vuthu
myeke	m yek e
mzuzu	m zuzu
na	na
nababebaphikela	n a b a be ba phik el a
nababoshiwe	n a ba bosh iw e
nabagulayo	n a ba gul a yo
nabakwansinyane	n a ba kwa nsinyane
nabanalesisifo	n a ba na le si si f o
nabantababantu	n a ba nta ba ba ntu
nabantu	n a ba ntu
nabantwana	n a ba ntw ana, n a ba ntwana
nabanye	n a ba nye
nabefundisi	n a be fund is i
nabesifazane	n a b e si faz ane
nabo	na bo
nafezela	na fezela
nagqubu	na gqubu
nakancane	na ka ncane
nakho	na kh o
nakhona	na kho na
nakhu	na khu
nakhuya	na khu ya
nakimi	na ki mi
nakini	na ki ni
nakodokotela	na k o dokotela
nakontshaseni	na kontshaseni
nakubheka	na ku bhek a
nakubuthwa	na ku buth w a
nakudlana	na ku dl ana
nakudolly	na ku dolly
nakumnaka	na ku m nak a
nakunkosazana	na ku n kos az ana
nakunkosi	na ku n kosi
nakuphefumula	n a ku phefumul a
nakuye	na ku ye
nakuyo	na ku yo
nakuyona	na ku yo na
nakwamanye	n a kw a ma nye
nakwendlala	na kw e n dlala
nalaba	na la ba
nalabo	na la b o
nalamadoda	na la ma doda
nalamaphoyisa	na la ma phoyisa
nalapha	na lapha
nalapho	na laph o
nalawa	na la wa
nalena	na le na
nalendoda	na le n doda
nalenkinga	na le n kinga
nalesosifundo	na le s o si fund o
naleyana	na le ya na
naleyongane	na le y o n gane
nalezi	na le zi
nalo	na lo
nalokho	na lo kh o
nalokhokuhlupha	na lo kh o ku hluph a
nalolu	na lo lu
nalombuzo	na lo m buz o
nalona	na lo na
nalowo	na lo w o
nalowomlungu	na lo w o m lungu
naloya	na lo ya
namabhanqule	n a ma bhanqule
namabhantshi	n a ma bhantshi
namabhulukwana	n a ma bhulukw ana
namacansi	n a ma cansi
namadikoni	na ma dikoni
namadodakazi	n a ma doda kazi
namadodana	n a ma dod ana
namafutha	n a ma futha
namagama	n a ma gama
namagebe	n a ma gebe
namagwababa	n a ma gwababa
namahlamvu	n a ma hlamvu
namahlonyana	n a ma hlony ana
namahlulana	n a ma hlul ana
namakapisi	n a ma kapisi
namakhekhe	n a ma khekhe
namali	na mali
namaningi	na ma ningi
namanje	na manje
namanye	n a ma nye
namanzi	n a ma nzi
namaphela	n a ma phela
namaphepha	n a ma phepha
namaphephandaba	n a ma phepha n daba
namapotimende	n a ma potimende
namaqele	n a ma qele
namarandi	n a ma randi
namasondo	na ma sondo
namathe	n a ma the
namathoshi	n a ma thoshi
namatshwala	n a ma tshwala
namaxhegu	n a ma xhegu
namayembe	n a ma yembe
namazeze	n a ma zeze
namazinyo	n a ma zinyo
nambili	na m bili
namhla	na m hla
namhlaba	na m hlaba
namhlanje	na m hla nje
nami	na mi
nampa	nam pa
namuhla	na mu hla
namuntu	n a mu ntu
nanamhla	na na m hla
nandlebe	na n dlebe
nanezinye	na n e zi nye
nangale	na nga le
nangaleso	na nga le s o
nangapha	na ngapha
nangasifundo	na nga si fund o
nangempela	na ng empela
nangentobeko	na ng e n tobek o
nangenzansi	na ng e n zansi
nangesineke	n a nge sinek e
nango	nan g o
nangokufana	na ng o ku fan a
nangu	nan gu
nanguya	nan gu ya
nangwe	na n gwe
nanhlanu	na n hlanu
nani	na ni
naniwumuzi	n a ni w u mu zi
nanka	nan ka
nanokuthi	na n o kuthi
nanomuntu	na n o mu ntu
nansi	nan si
nantambama	na ntambama
nantathu	na n tathu
nanti	nan ti
nanto	nan t o
nanye	na nye
naphakathi	na phakathi
naphambi	na phambi
naphambili	na phambili
nasebabanango	na se baba nan g o
nasegilonko	na se gilonko
nasehlanzeni	na se hlanz eni
nasehotela	na se hotela
nasejordani	na se jordani
nasekuhloleni	na se ku hlol eni
nasekungeneni	na se ku ngen eni
nasekupathweni	na se ku path w eni
nasembumbulu	na se mbumbulu
nasemhlane	na se m hlane
nasemlonyeni	na se m lony eni
nasempilweni	na se m pil w eni
nasendleleni	na se n dlel eni
nasendodeni	na se n dod eni
nasethaya	na se thaya
nasezingaleni	na se zi ngal eni
nasezingqondweni	na se zin gqond w eni
nasezinkantolo	na se zin kantolo
nasi	na si
naso	na so
nathengisa	n a theng is a
nathi	na thi
navolovolana	na volovol ana
navolovolwana	na volovolw ana
nawe	na we
nawo	na wo
nawoqukula	na w o qukul a
nawukungabaza	na w u ku nga baz a
nawuvadlwana	na w u vadlw ana
naye	na ye
nayo	na yo
nazi	na zi
naziya	na zi ya
nazo	na z o
ncane	ncane
ncwadi	n cwadi
ndaba	n daba
ndawo	n dawo
ndawondawo	ndawo n dawo
ndini	ndini
ndlela	n dlela
ndoda	n doda
ndodakazi	n doda kazi
ndodana	n dod ana
nduna	n duna
ne	n e
nebala	n e bala
nebandla	n e bandla
nebhekamuzi	n e bhek a mu zi
necebo	n e ceb o
nedelelekile	n e del el ek ile
nedlozi	n e dlozi
nedlulisele	n edlul is el e
nedombolo	n e dombolo
negama	n e gama
negazi	n e gazi
negciwane	n e gciwane
negoqwana	n e goqw ana
nehaseroti	n e haseroti
nekadadewabo	n e ka dade wa bo
nelamajebusi	n e l a ma jebusi
nelambu	n e lambu
nelanga	n e langa
nelengayi	n e lengayi
nelikamashobana	n e lika ma shob ana
nelilodwa	n e li lo dwa
nelokuphepha	n e l o ku pheph a
nemali	n e mali
nemamba	n e mamba
nembekamuzi	n e m bek a mu zi
nembodla	n e m bodla
nemfolozi	n e m folozi
nemibokwane	n e mi bokw ane
nemibuzo	n e mi buz o
nemicengezi	n e mi cengez i
nemichachazwana	n e mi chachazw ana
nemijovo	n e mi jov o
nemikhandlu	n e mi khandlu
nemikhuba	n e mi khuba
neminyaka	n e mi nyaka
nemisalela	n e mi salela
nemoto	n e moto
nempatho	n e m path o
nempela	n empela
nempepho	n e m peph o
nempilo	n e m pil o
nencu	n e ncu
nendaba	n e n daba
nendlu	n e n dlu
nendoda	n e n doda
nendodana	n e n dod ana
nengingakubonisa	n e ngi nga ku bon is a
nengqondo	n e n gqond o
nenhlanhla	n e n hlanhla
nenhlonipho	n e n hloniph o
neningi	n e ningi
nenja	n e n ja
nenkokhelo	n e n kokhel o
nenkosi	n e n kosi
nenkosikazi	n e n kosi kazi
nenkulumo	n e n kulum o
nensizwa	n e n sizwa
nentebe	n entebe
nento	n e n to
nentokozo	n e n tokoz o
nentombazane	n e n tombaz ane
nentombi	n e n tombi
nenyanga	n e nyanga
nenyoni	n e nyoni
nepeni	n e peni
nephalishi	n e phalishi
neqhinga	n e qhinga
neqholwayo	n e qhol w a yo
neqophelo	n e qophel o
nerandi	n e randi
nesekela	n e sekel a
nesenyathi	n e s e nyathi
nesi	nesi
nesibindi	n e si bindi
nesibongo	n e si bong o
nesicongo	n e si congo
nesifo	n e si f o
nesigqoko	n e si gqok o
nesiguli	n e si gul i
nesimo	n e si mo
nesinqumo	n e si nqum o
nesiqalekiso	n e si qalek is o
nesitha	n e si tha
nesithumuthumu	n e si thumuthumu
nesithupha	n e si thupha
nesokuxoxa	n e s o ku xox a
nesonto	n e sonto
nethuba	n e thuba
nethuka	n ethuk a
newundlu	n e wundlu
nexoxwayo	n e xox w a yo
neyayishiwo	n e y a yi sh iw o
neyensikazi	n e y e n sikazi
neyisikhombisa	n e y i si khomb is a
nezalukazi	n e z alu kazi
nezangoma	n e z angoma
nezazisafikayo	n e z a zi sa fik a yo
neze	neze
nezegceke	n e z e gceke
nezehlakalo	n e z ehl akal o
nezibi	n e zi bi
nezibusiso	n e zi busis o
nezichwe	n e zi chwe
nezidumile	n e zi dum ile
nezifamona	n e zi famona
nezigameko	n e zi gamek o
nezigi	n e zi gi
nezihlobo	n e zi hlobo
nezikhokho	n e zi khokho
nezimbuzi	n e zim buzi
nezimfamona	n e zim famona
nezimpawu	n e zim pawu
nezimpondo	n e zim pondo
nezimpunzi	n e zim punzi
nezindlebe	n e zin dlebe
nezindlovu	n e zin dlovu
nezingane	n e zin gane
nezingcwecwe	n e zin gcwecwe
nezingubo	n e zin gubo
nezinhlanhla	n e zin hlanhla
nezinhlonze	n e zin hlonze
nezinkabi	n e zin kabi
nezinkomo	n e zin komo
nezinqulu	n e zin qulu
nezinyathi	n e zi nyathi
nezinyawo	n e zi nyawo
nezinye	n e zi nye
nezinyembezi	n e zi nyembezi
nezipopolo	n e zi popol o
nezitha	n e zi tha
nezithithibala	n e zi thithibala
nezokuhlobisa	n e z o ku hlob is a
nga	nga
ngababili	ng a ba bili
ngabambelela	ng a bambel el a
ngabandayo	ng a band a yo
ngabantu	ng a ba ntu
ngabantwana	ng a ba ntwana
ngabanye	ng a ba nye
ngabathathu	ng a ba thathu
ngabaxhasi	ng a ba xhas i
ngabe	ngabe
ngabona	ng a bon a
ngabuya	ng a buy a
ngabuye	ng a buy e
ngabuza	ng a buz a
ngacabanga	ng a cabang a
ngacela	ng a cel a
ngafelwa	ng a f el w a
ngafika	ng a fik a
ngafike	ng a fik e
ngafuna	ng a fun a
ngafunga	ng a fung a
ngafuza	ng a fuz a
ngagana	ng a gan a
ngagudaza	ng a gudaz a
ngagula	ng a gul a
ngahamba	ng a hamb a
ngahehwa	ng a heh w a
ngahlabana	ng a hlab an a
ngahlala	ng a hlal a
ngakha	ng akh a
ngakhangwa	ng a khang w a
ngakhela	ng akh el a
ngakho	nga kho
ngakholwa	ng a khol w a
ngakhona	nga kho na
ngakhulekela	ng a khul ek el a
ngakhumbula	ng a khumbul a
ngakithi	nga ki thi
ngakubo	nga ku bo
ngakugcina	ng a ku gcin a
ngakulahla	nga ku lahl a
ngakunuka	ng a ku nuk a
ngakusasa	nga kusasa
ngakwalushaba	nga kwa lushaba
ngakwelinye	nga kw e li nye
ngakwenza	ng a kw enz a
ngalabomadlebhekile	nga la b o ma dl e bhek ile
ngalala	ng a lal a
ngalalela	ng a lalel a
ngalamazwi	nga la ma zwi
ngalapho	nga laph o
ngalazi	ng a l azi
ngale	nga le
ngalejwayela	ng a l ejwayel a
ngalelilanga	nga le li langa
ngalelo	nga le l o
ngalena	nga le na
ngalendaba	nga le n daba
ngalendlela	nga le n dlela
ngalenkathi	nga le n kathi
ngalento	nga le n to
ngalesi	nga le si
ngalesisikhathi	nga le si si khathi
ngaleso	nga le s o
ngaleyonto	nga le y o n to
ngalezizitebhisi	nga le zi zi tebhisi
ngalilahla	ng a li lahl a
ngalilungisa	ng a li lung is a
ngalizwa	ng a li zw a
ngalo	nga lo
ngalobobusuku	nga lo b o bu suku
ngalokho	nga lo kh o
ngalokhoke	nga lo kh o ke
ngalolo	nga lo l o
ngalolu	nga lo lu
ngalutho	nga lu tho
ngamabandla	ng a ma bandla
ngamadolo	ng a ma dolo
ngamaduku	ng a ma duku
ngamafushane	ng a ma fushane
ngamagama	ng a ma gama
ngamahalazibeke	ng a ma halazibeke
ngamahembe	ng a ma hembe
ngamahhelekehle	ng a ma hhelekehle
ngamakhafula	ng a ma khafula
ngamakhala	ng a ma khala
ngamakhaya	ng a ma khaya
ngamakhaza	nga ma khaza
ngamangala	ng a mangal a
ngamaningi	nga ma ningi
ngamanqina	ng a ma nqina
ngamanzi	ng a ma nzi
ngamaphoyisa	ng a ma phoyisa
ngamaphuphu	ng a ma phuphu
ngamaphutha	ng a ma phutha
ngamaqembu	nga ma qembu
ngamaqushela	ng a ma qush el a
ngamarandi	ng a ma randi
ngamasonto	ng a ma sonto
ngamatshe	ng a ma tshe
ngamayeza	ng a ma yeza
ngamayezi	ng a ma yezi
ngamazwi	ng a ma zw i
ngambongela	ng a m bong el a
ngambuza	ng a m buz a
ngamcela	ng a m cel a
ngamdlelani	ng a m dl el a ni
ngamehlo	ng a me hlo
ngamelwe	ng a m el w e
ngamenzela	ng a m enz el a
ngamhlophe	nga mhlophe
ngami	nga mi
ngamibuzo	ng a mi buz o
ngamnika	ng a m nik a
ngamphendula	ng a m phendul a
ngamunye	nga mu nye
ngamuthi	nga mu thi
ngamuzwa	ng a mu zw a
ngamzuza	ng a m zuz a
ngane	n gane
nganeno	nga neno
ngangabe	nga ngabe
ngangazazi	ng a nga z az i
ngangena	ng a ngen a
ngangesaba	ng a ng esab a
ngangibanjwe	ng a ngi banj w e
ngangibatshelile	ng a ngi ba tshel ile
ngangidonsela	ng a ngi dons el a
ngangihlabe	ng a ngi hlab e
ngangihola	ng a ngi hol a
ngangikwenza	ng a ngi kw enz a
ngangilithatha	ng a ngi li thath a
ngangimesaba	ng a ngi m esab a
ngangimuhle	nga ngimuhle
ngangingakamtsheli	ng a ngi nga ka m tshel i
ngangingakaze	ng a ngi nga ka ze
ngangingakwazi	ng a ngi nga kw azi
ngangingaqondile	ng a ngi nga qond ile
ngangingasathandi	ng a ngi nga sa thand i
ngangingasenandaba	ng a ngi nga se na n daba
ngangingengedwa	ng a ngi nge nge dwa
ngangingezuphumelela	ng a ngi nge zu phumelel a
ngangiphuma	ng a ngi phum a
ngangiphupha	ng a ngi phuph a
ngangiphuzile	ng a ngi phuz ile
ngangiqala	ng a ngi qal a
ngangiqhamokela	ng a ngi qhamok el a
ngangisebenza	ng a ngi sebenz a
ngangisemncane	ng a ngi se m ncane
ngangisemuncane	ng a ngi se mu ncane
ngangivuka	ng a ngi vuk a
ngangiya	ng a ngi y a
ngangiyikhuluma	ng a ngi yi khulum a
ngangiyithola	ng a ngi yi thol a
ngangizohamba	ng a ngi zo hamb a
ngangizolindela	ng a ngi zo lind el a
ngani	nga ni
ngapha	ngapha
ngaphakathi	nga phakathi
ngaphambi	nga phambi
ngaphambili	nga phambili
ngaphandle	nga phandle
ngaphansi	nga phansi
ngaphesheya	nga phesheya
ngaphezulu	nga phezulu
ngaphika	ng a phik a
ngapho	ngapho
ngaphuma	ng a phum a
ngaphupha	ng a phuph a
ngaqala	ng a qal a
ngaqoqa	ng a qoq a
ngasale	ng a sal e
ngasedandi	nga se dandi
ngasefilidi	nga se filidi
ngasekhombe	nga se khombe
ngasekupheleni	nga se ku phel eni
ngasemagogo	nga se ma gogo
ngasemnyango	nga se m nyango
ngasemobeni	nga se mob eni
ngasendlini	nga se ndl ini
ngaseningizimu	nga se ningi zimu
ngasentshonalanga	nga se n tshon a langa
ngaseputukezi	nga se putukezi
ngasikhihla	ng a si khihl a
ngasola	ng a sol a
ngathi	ng a thi
ngathola	ng a thol a
ngathubeleza	ng a thubelez a
ngawakha	ng a w akh a
ngawaseputukezi	ng a wa se putukezi
ngawe	nga we
ngawo	nga wo
ngawugxumela	ng a wu gxumel a
ngawuphebezela	ng a wu phebezel a
ngaxakeka	ng a xak ek a
ngaye	nga ye
ngayibona	ng a yi bon a
ngayiqala	ng a yi qal a
ngayo	nga yo
ngayoxoxa	ng a yo xox a
ngaze	ng a ze
ngazi	ng azi
ngazibonela	ng a zi bon el a
ngazibuka	ng a zi buk a
ngazibuza	ng a zi buz a
ngaziduduza	ng a zi duduz a
ngazikile	ng a zik ile
ngazini	ng azi ni
ngaziphendula	ng a zi phendul a
ngaziphi	ng a z iphi
ngazithela	ng a zi thel a
ngazizwa	ng a zi zw a
ngazo	nga zo
ngci	ngci
ngcono	ngcono
nge	ng e
ngebhasi	ng e bhasi
ngebhokisi	ng e bhokisi
ngedlula	ng edlul a
ngedlulele	ng edlul el e
ngegama	ng e gama
ngegazi	ng e gazi
ngehashi	ng e hashi
ngehla	ng ehl a
ngehluke	ng ehluk e
ngehluleke	ng ehlul ek e
ngejaz	ng e jaz
ngejubane	ng e jubane
ngekalishi	ng e kalishi
ngeke	ngeke
ngekhala	ng e khala
ngekhanda	ng e khanda
ngelikade	ng e li kade
ngelinye	ng e li nye
ngema	ng em a
ngemfanelo	ng e m fanel o
ngemfe	ng e m fe
ngemibuzo	ng e mi buz o
ngemihosha	ng e mi hosha
ngemikhonto	ng e mi khonto
ngeminyaka	ng e mi nyaka
ngemisebenzi	ng e mi sebenz i
ngemizamo	ng e mi zam o
ngemoto	ng e moto
ngempela	ngempela
ngemuva	ng e muva
ngemvubu	ng e m vubu
ngenani	ngen a ni
ngenanyiswe	ng enany is w e
ngencwadi	ng e n cwadi
ngendlala	ng e n dlala
ngendlela	ng e n dlela
ngendodana	ng e n dod ana
ngengubo	ng e n gubo
ngenhlanhla	ng e n hlanhla
ngenhlanhlake	ng e n hlanhla ke
ngenhliziyo	ng e n hliziyo
ngenkani	ng e n kani
ngenkathi	ng e n kathi
ngenkulumo	ng e n kulum o
ngensini	ng e n sini
ngentaba	ng e n taba
ngentathakusa	ng e n tathakusa
ngento	ng e n to
ngenxa	ng e n xa
ngenxeba	ng e n xeba
ngenyanga	ng e nyanga
ngenye	ng e nye
ngenza	ng enz a
ngenze	ng enz e
ngenzeni	ng enz e ni
ngenzenjani	ng enz e njani
ngenziwa	ng enz iw a
ngesamagundane	ng e s a ma gundane
ngesandla	ng e s andla
ngesango	ng e s ango
ngeshwa	ng e shwa
ngesibindi	ng e si bindi
ngesigcwele	ng e si gcwel e
ngesihenqo	ng e si henq o
ngesihle	ng e si hle
ngesika	ng e sika
ngesikade	ng e si kade
ngesikhathi	ng e si khathi
ngesikhulu	ng e si khulu
ngesikweletu	ng e si kweletu
ngesilima	ng e si lima
ngesineke	ng e si neke
ngesinkahlu	ng e si nkahlu
ngesinye	ng e si nye
ngesipikiyana	ng e si pikiy ana
ngesizulu	ng e si zulu
ngesokuhlwa	ng e s o ku hlw a
ngesokusa	ng e s o ku s a
ngesomuntu	ng e s o mu ntu
ngesongana	ng e song ana
ngesongwana	ng e songw ana
ngesonto	ng e sonto
ngesule	ng esul e
ngeswela	ng eswel a
ngethaka	ng e thaka
ngethemba	ng e themb a
ngethuka	ng ethuk a
ngeviki	ng e viki
ngewindi	ng e windi
ngeyakhe	ng e ya khe
ngeyempoqo	ng e y e m poqo
ngeyesigodlo	ng e y e si godlo
ngeyinki	ng e yinki
ngezacile	ng e zac ile
ngezamaqhawe	ng e z a ma qhawe
ngezandla	ng e z andla
ngezansana	ng e zans ana
ngezela	ng ezel a
ngezifuba	ng e zi fuba
ngezikathwala	ng e zika thwal a
ngezikhathi	ng e zi khathi
ngezilwanyana	ng e zi lwany ana
ngezimoto	ng e zi moto
ngezimpande	ng e zim pande
ngezincwadi	ng e zin cwadi
ngezindlda	ng e zin dlda
ngezindlebe	ng e zin dlebe
ngezindlela	ng e zin dlela
ngezingane	ng e zin gane
ngezingiqi	ng e zin giqi
ngezinhlobo	ng e zin hlobo
ngezinkomo	ng e zin komo
ngezinselo	ng e zin sel o
ngezinsizwa	ng e zin sizwa
ngezinsuku	ng e zin suku
ngezintelezi	ng e zin telez i
ngezinto	ng e zin to
ngezinyawo	ng e zi nyawo
ngezinyembezi	ng e zi nyembezi
ngezitebhisi	ng e zi tebhisi
ngezitoxoyi	ng e zi toxoyi
ngezwa	ng ezw a
ngibahlanganise	ngi ba hlangan is e
ngibahlupha	ngi ba hluph a
ngibanjiwe	ngi banj iw e
ngibashiye	ngi ba shiy e
ngibe	ngi b e
ngibeka	ngi bek a
